,ZipCode,Population,HouseholdsPerZipCode,PersonsPerHousehold,AverageHouseValue,IncomePerHousehold,Latitude,Longitude,Elevation,State,StateFullName,City,CountyName,CBSAType,CBSAName,MSAName,PMSA_Name,Region,Division,popden,Unnamed: 20,electricity (kWh),Nat. Gas (cu.ft.),FUELOIL (gallons),Vehicle miles traveled,Unnamed: 25,Transport (tCO2e/yr),Housing (tCO2e/yr),Food (tCO2e/yr),Goods (tCO2e/yr),Services (tCO2e/yr),Total (tCO2e/yr)
3558,14042,4553,2086,2.6,72600,30253,42.473715,-78.512752,1566,NY,New York,DELEVAN,CATTARAUGUS,Micro,"Olean, NY",,,Northeast,Middle Atlantic,101.896127361,,7158.70975771,7158.70975771,7158.70975771,20141,,13.5570207425,8.69160345923,7.8,4.44158657157,4.74945282037,39.2396635937
3559,14043,26537,11177,2.45,90100,43908,42.90162,-78.70794,583,NY,New York,DEPEW,ERIE,Metro,"Buffalo-Niagara Falls, NY","Buffalo-Niagara Falls, NY MSA",,Northeast,Middle Atlantic,3360.34661829,,8275.4059227,8275.4059227,8275.4059227,20211,,14.2009736544,10.0751448478,7.35,5.25616672779,5.92242000236,42.8047052323
3560,14047,6833,2653,2.71,87600,52445,42.694096,-78.98876,583,NY,New York,DERBY,ERIE,Metro,"Buffalo-Niagara Falls, NY","Buffalo-Niagara Falls, NY MSA",,Northeast,Middle Atlantic,553.128507141,,9569.50852858,9569.50852858,9569.50852858,24958,,17.3862261784,10.8388810291,8.13,5.91422325077,6.67736200596,48.9466924642
3561,14048,16097,7457,2.37,56800,29310,42.47496,-79.32498,1303,NY,New York,DUNKIRK,CHAUTAUQUA,Micro,"Jamestown-Dunkirk-Fredonia, NY","Jamestown, NY MSA",,Northeast,Middle Atlantic,682.933207673,,7783.15998532,7783.15998532,7783.15998532,15643,,10.8153407259,10.5421400597,7.11,4.29535585614,4.65537942165,37.4182160634
3562,14051,17991,6280,2.94,172200,88317,43.033131,-78.69326,583,NY,New York,EAST AMHERST,ERIE,Metro,"Buffalo-Niagara Falls, NY","Buffalo-Niagara Falls, NY MSA",,Northeast,Middle Atlantic,1208.30236909,,12270.0318531,12270.0318531,12270.0318531,29676,,21.7011021273,12.9211624008,8.82,8.27810067515,9.791304546,61.5116697493
3563,14052,18248,7198,2.59,126600,52395,42.7727,-78.5637,583,NY,New York,EAST AURORA,ERIE,Metro,"Buffalo-Niagara Falls, NY","Buffalo-Niagara Falls, NY MSA",,Northeast,Middle Atlantic,276.4308607,,9902.10755748,9902.10755748,9902.10755748,24635,,17.2222822427,11.316368158,7.77,5.86097938838,6.66576633961,48.8353961287
3564,14054,1361,527,2.7,80700,45400,42.913501,-78.134922,895,NY,New York,EAST BETHANY,GENESEE,Micro,"Batavia, NY","Rochester, NY MSA",,Northeast,Middle Atlantic,46.4694867215,,8511.58501688,8511.58501688,8511.58501688,28442,,19.242585218,11.728065129,8.1,5.4626099189,6.06764162193,50.6009018879
3565,14055,1469,569,2.78,94500,39500,42.555945,-78.610094,583,NY,New York,EAST CONCORD,ERIE,Metro,"Buffalo-Niagara Falls, NY","Buffalo-Niagara Falls, NY MSA",,Northeast,Middle Atlantic,55.1689265772,,8794.35126322,8794.35126322,8794.35126322,28208,,18.8504909011,10.2811308125,8.34,5.09511834249,5.55857452906,48.1253145851
3566,14057,8276,3085,2.76,107500,54273,42.648439,-78.868711,583,NY,New York,EDEN,ERIE,Metro,"Buffalo-Niagara Falls, NY","Buffalo-Niagara Falls, NY MSA",,Northeast,Middle Atlantic,175.172880563,,10122.6620939,10122.6620939,10122.6620939,27530,,19.0556322548,11.5773971033,8.28,6.01353458272,6.83297324814,51.759537189
3567,14058,2325,871,2.82,81800,46086,43.086899,-78.157503,895,NY,New York,ELBA,GENESEE,Micro,"Batavia, NY","Rochester, NY MSA",,Northeast,Middle Atlantic,59.5273558668,,8649.08044165,8649.08044165,8649.08044165,26522,,18.0735172155,11.7857931653,8.46,5.52803046541,6.13012755187,49.9774683981
